Slot,Item Name,Source,Drop Chance,Tier,Healing Power,Intellect,Spirit,Mp5,Mana,Spell Crit,Available,Unique
finger,Pure Elementium Band,Nefarian,0.06,0,53,10,10,0,0,0.00,FALSE,TRUE
finger,Cauterizing Band,Majordomo Executus,0.21,0,46,12,0,0,0,0.00,TRUE,FALSE
finger,Seal of Rivendare,Bank,1.0,0,0,17,7,0,0,0.00,TRUE,FALSE
finger,Fordring's Seal,Quest,1.00,0,37,5,0,0,0,0.00,TRUE,TRUE
finger,Eye of Orgrimmar,Quest,1.00,0,18,7,4,0,0,0.00,TRUE,TRUE
trinket,Royal Seal of Eldre'Thalas,Quest,1.00,0,33.0,0.0,0.0,4.0,0.0,0.00,TRUE,TRUE
trinket,Second Wind,Golem Lord Argelmach,0.09,0,22.0,0.0,0.0,1.7,0.0,0.00,TRUE,TRUE
trinket,Blessed Prayer Beads,Quest (ST),1.00,0,31.7,0.0,0.0,0.0,0.0,0.00,TRUE,TRUE
head,Halo of Transcendence,Onyxia,1.00,2,48,27,22,0,0,0.00,TRUE,TRUE
neck,Animated Chain Necklace,Ramstein the Gorger,0.12,0,33,0,6,0,0,0.00,TRUE,TRUE
neck,Frostwolf Advisor's Pendant,Frostwolf Clan (Honored),1.00,0,0,10,0,4,0,0.00,TRUE,TRUE
neck,Darkmoon Necklace,Darmoon Faire,1.00,0,0,6,0,6,0,0.00,TRUE,TRUE
shoulders,Mantle of the Timbermaw,Tailoring,1.00,0,0,21,0,6,0,0.00,TRUE,TRUE
shoulders,Mantle of Prophecy,Sulfuron Harbinger,0.13,1,9,23,10,0,0,0.00,TRUE,TRUE
shoulders,Elder Wizard's Mantle,World Drop,1.00,0,11,20,0,0,0,0.00,TRUE,TRUE
shoulders,Kentic Amice,High Interrogator Gerstahn,0.38,0,14,13,6,0,0,0.00,TRUE,TRUE
back,Hide of the Wild,Crafting,1.00,0,42,10,0,0,0,0.00,TRUE,TRUE
back,Archivist Cape (of the Owl),Bank,1.00,0,0,9,9,4,0,0.00,TRUE,TRUE
back,Faded Hakkari Cloak,Bank,1.00,0,0,8,0,6,0,0.00,TRUE,TRUE
back,Spritecaster Cape,Bank,1.00,0,14,4,5,0,0,0.00,TRUE,TRUE
chest,Robes of Prophecy,Golemagg the Incinerator,0.13,1,22,27,17,0,0,0.00,TRUE,TRUE
chest,Truefaith Vestments,Crafting,1.00,0,73,0,0,6,0,0.00,TRUE,TRUE
chest,Robes of the Exalted,Baron Rivendare,0.14,0,68,5,11,0,0,0.00,TRUE,TRUE
wrists,Vambraces of Prophecy,MC Trash,0.07,1,24,14,10,2,0,0.00,TRUE,TRUE
wrists,Bindings of Transcendence,Razorgore the Untamed,0.13,2,33,13,16,0,0,0.00,FALSE,TRUE
wrists,Flameweave Cuffs (of Healing),Bank,1.00,0,33,0,0,0,0,0.00,TRUE,TRUE
weapon 2H,Benediction,Class Quest,1.00,0,106,31,12,0,0,0.02,TRUE,TRUE
wand,Crimson Shocker,MC Trash,0.01,0,0,10,0,0,0,0.00,TRUE,TRUE
wand,Wizard's Hand (of Healing),World Drop,1.00,0,15,0,0,0,0,0.00,TRUE,TRUE
wand,Regal Star of the Owl,AH,1.0,0,0,6,7,0,0,0.00,TRUE,TRUE
hands,Gloves of Prophecy,Gehennas,0.32,1,18,15,15,6,0,0.00,TRUE,TRUE
hands,Hands of the Exalted Herald,Princess Moira Bronzebeard,0.23,0,33,13,12,0,0,0.00,TRUE,TRUE
hands,Gloves of Rapid Evolution,Razorgore the Untamed,0.15,0,0,12,32,0,0,0.00,FALSE,TRUE
hands,High Councillor's Gloves,World Drop,0.01,0,46,0,0,0,0,0.00,TRUE,TRUE
waist,Whipvine Cord,Alzzin the Wildshaper,0.19,0,31,9,0,6,0,0.00,TRUE,TRUE
waist,Girdle of Prophecy,MC Trash,0.13,1,9,22,10,4,0,0.00,TRUE,TRUE
legs,Padre's Trousers,Illyanna Ravenoak,0.22,0,42,20,0,6,0,0.00,TRUE,TRUE
feet,Boots of Prophecy,Shazzrah,0.13,1,18,18,15,0,0,0.00,TRUE,TRUE
