Slot,Item Name,Source,Drop Chance,Tier,Healing Power,Intellect,Spirit,Mp5,Mana,Spell Crit,Available,Unique
finger,Pure Elementium Band,Nefarian,0.06,0,53,10,10,0,0,0.00,FALSE,TRUE
finger,Cauterizing Band,Majordomo Executus,0.21,0,46,12,0,0,0,0.00,TRUE,FALSE
finger,Seal of Rivendare,Bank,1.0,0,0,17,7,0,0,0.00,TRUE,FALSE
trinket,Rejuvenating Gem,3 Drakes,0.10,0,66.0,0.0,0.0,9.0,0.0,0.00,FALSE,TRUE
trinket,Shard of the Scale,Onyxia,0.06,0,0.0,0.0,0.0,16.0,0.0,0.00,FALSE,TRUE
trinket,Mindtap Talisman,Magister Kalendris,0.09,0,0.0,0.0,0.0,11.0,0.0,0.00,TRUE,FALSE
head,Halo of Transcendence,Onyxia,1.00,2,48,27,22,0,0,0.00,TRUE,TRUE
neck,Animated Chain Necklace,Ramstein the Gorger,0.12,0,33,0,6,0,0,0.00,TRUE,TRUE
neck,Pendant of the Fallen Dragon,Vaelastrasz the Corrupt,0.31,0,0,12,0,9,0,0.00,FALSE,TRUE
shoulders,Pauldrons of Transcendence,Chromaggus,0.13,2,26,25,13,0,0,0.00,FALSE,TRUE
shoulders,Mantle of Prophecy,Sulfuron Harbinger,0.13,1,9,23,10,0,0,0.00,TRUE,TRUE
back,Shroud of Pure Thought,Flamegor,0.13,0,33,11,0,6,0,0.00,FALSE,TRUE
back,Faded Hakkari Cloak,Bank,1.00,0,0,8,0,6,0,0.00,TRUE,TRUE
chest,Robes of Transcendence,Nefarian,0.13,2,57,27,16,0,0,0.00,FALSE,TRUE
chest,Truefaith Vestments,Crafting,1.00,0,73,0,0,6,0,0.00,TRUE,TRUE
wrists,Bindings of Transcendence,Razorgore the Untamed,0.13,2,33,13,16,0,0,0.00,FALSE,TRUE
weapon 2H,Benediction,Class Quest,1.00,0,106,31,12,0,0,0.02,TRUE,TRUERUE
wand,Mana Channeling Wand,Cho'Rush the Observer,0.43,0,0,0,0,4,0,0.00,TRUE,TRUE
hands,Handguards of Transcendence,3 Drakes,0.15,2,29,20,13,0,0,0.01,FALSE,TRUE
hands,Hands of the Exalted Herald,Princess Moira Bronzebeard,0.23,0,33,13,12,0,0,0.00,TRUE,TRUE
waist,Belt of Transcendence,Vaelastrasz the Corrupt,0.23,2,26,26,9,0,0,0.00,FALSE,TRUEE
waist,Girdle of Prophecy,MC Trash,0.13,1,9,22,10,4,0,0.00,TRUE,TRUE
legs,Leggings of Transcendence,Ragnaros,0.13,2,46,21,21,7,0,0.00,FALSE,TRUE
legs,Empowered Leggings,Chromaggus,0.12,0,77,12,24,0,0,0.01,FALSE,TRUE
legs,Pants of Prophecy,Magmadar,0.12,1,22,24,20,6,0,0.00,TRUE,TRUE
feet,Boots of Pure Thought,BWL Trash,0.01,0,62,12,12,0,0,0.00,FALSE,TRUE
feet,Boots of Transcendence,Broodlord Lashlayer,0.13,2,35,17,17,0,0,0.00,FALSE,TRUE
